name,releasetime,score,star
教父,1972-03-14(美国),9.3,"马龙·白兰度,阿尔·帕西诺,詹姆斯·凯恩"
活着,1994-05-17(法国),9.0,"葛优,巩俐,牛犇"
死亡诗社,1989-06-02(加拿大),8.7,"罗宾·威廉姆斯,伊桑·霍克,罗伯特·肖恩·莱纳德"
龙猫,2018-12-14,9.2,"秦岚,糸井重里,岛本须美"
被嫌弃的松子的一生,2006-05-27(日本),8.5,"中谷美纪,永山瑛太,伊势谷友介"
闻香识女人,1992-12-23(美国),8.8,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔"
疯狂动物城,2016-03-04,9.5,"金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴"
三块广告牌,2018-03-02,8.6,"弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔"
心灵奇旅,2020-12-25,9.2,"杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德"
末代皇帝,1987-10-04(日本),8.8,"尊龙,陈冲,彼得·奥图尔"
机器人总动员,2008-06-27(美国),9.3,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林"
西西里的美丽传说,2000-10-26 00:00:00(意大利),8.2,"莫妮卡·安娜·玛丽亚·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳"
超脱,2011-04-25(美国),8.7,"阿德里安·布劳迪,马西娅·盖伊·哈登,詹姆斯·凯恩"
本杰明·巴顿奇事,2008-12-25(美国),8.8,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森"
让子弹飞,2010-12-16,8.5,"姜文,周润发,葛优"
海蒂和爷爷,2019-05-16,9.5,"阿努克·斯特芬 ,布鲁诺·甘茨,昆林·艾格匹"
一一,2017-07-28(中国台湾),8.9,"吴念真,金燕玲,李凯莉"
海边的曼彻斯特,2017-08-25,8.8,"卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯"
布达佩斯大饭店,2014-02-06(德国),8.7,"拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南"
阿凡达,2010-01-04,9.4,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹"
美国往事,2015-04-23,9.1,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文"
复仇者联盟4：终局之战,2019-04-24,9.1,"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛"
美丽心灵,2001-12-13(美国),8.8,"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯"
