name,thirty_day_average_price,thirty_day_change,thirty_day_difference,thirty_day_sales,thirty_day_volume
Genuine Undead,0.517943415228806,-0.24110660884791732,-154.02333007082757,936,484.79503665416246
Underground Pass,4.613026315789474,0.19138967029576257,28.1601,38,175.29500000000002
CryptoPhunks,0.40336453854838716,0.1348409271312501,5.943005609090903,124,50.017202780000005
Damien Hirst - The Currency,3.4492818749999996,0.027575478285155258,2.962019999999953,32,110.37701999999999
Emblem Vault [Ethereum],0.6812694631144056,0.1370326243490569,38.75359270997353,472,321.55918658999946
Darkflex,0.04710585767041967,0,607.571352233073,12898,607.571352233073
myoo : ORIGINS,0.1519489752602044,0,81.74854868998997,538,81.74854868998997
MDJ - OPEN,0.13185366197841167,0,219.93190817999067,1668,219.93190817999067
Arsonic X TheWorm,0.165925185,0,9.9555111,60,9.9555111
The GODA Mint Pass,2.2406754166666665,-0.282240832806666,-21.14614900000001,24,53.77620999999999
Punk-Toadz,0.4779441176470588,938.3121387283239,8.1164,17,8.12505
SuperRare,1.3788111494764388,0.14822317635839638,67.99202197780045,382,526.7058590999997
Forgotten Runes Wizards Cult,1.188023783783784,0.5351404681220783,45.96928912146052,111,131.87064
Yaypegs,0.09859589911936296,-0.7877248622381525,-1242.8817761333971,3397,334.930269308476
THE SHIBOSHIS,0.7019895889226612,0.0729589208176951,15.704419065022165,329,230.9545747555555
Parallel Alpha,0.06686717548427351,3.233538506637812,723.4426028326342,14165,947.1735407347344
LITTLE BLOCK MACHINE,0.06298194425087109,0,18.075818,287,18.075818
Synthetic Dreams by Refik Anadol,4.403941666666667,2.708582456140351,38.597300000000004,12,52.847300000000004
The Lab Grown Beasts,0.41077516666666664,0.0688848321892914,1.5883570000000056,60,24.64651
JuicyS,0.015730723380082533,0,29.432183444134424,1871,29.432183444134424
Evil In Colour Editions,0.6335629166666662,-0.2113042879499466,-77.40222099999926,456,288.9046899999998
Open Editions by Highlight,0.006653833766233731,0,7.172832799999962,1078,7.172832799999962
SHIB YARD,0.3601166519841247,0.021033427606569084,1.6617332603587158,224,80.66613004444393
D3ADLINKZ,0.30659130434782605,0,7.0516,23,7.0516
Libra by Cooper Jamieson,0.439056221875,0,14.0497991,32,14.0497991
KENICHI NFTs,0.27444672953120836,0,6.861168238280209,25,6.861168238280209
Hublot Classic Fusion Murakami NFT,1.6759199999999999,0,41.897999999999996,25,41.897999999999996
Murakami.Flowers Official,1.089710669037656,-0.22842237971396784,-77.10244199000027,239,260.44084989999976
Decentraland,3.2125978131082564,-0.21897588302593765,-208.96626776734718,232,745.3226926411155
Fall of The Crypto Angels,0.21203727305651054,6.079151388126666,93.4095616889888,513,108.77512107798991
PhantaBear,0.333845447284345,1.4435234551552678,61.73012101989999,313,104.49362499999998
This Thing Of Ours - The NFT Gaming Collective,0.3713373493975903,-0.022544802276299847,-0.7108800000000137,83,30.82099999999999
Quirklings,0.18544593141680651,-0.28812931590144614,-44.6601950001329,595,110.34032919299987
MergeFractals,1.298,6489,6.489,5,6.49
FEWOCiOUS x FewoWorld: Paint,0.5515457013967064,-0.5309213540181708,-149.19832090021953,239,131.81942263381285
goblintown.wtf,0.8374451529622625,-0.41357984084739385,-328.97435092381437,557,466.4569501999802
Savage Nation,0.15090490439373316,-0.7984834674520006,-2444.384315821562,4088,616.8992491615812
HENI: Damien Hirst - The Empresses,1.4945023529411763,0.2422521024838648,9.909080000000003,34,50.81307999999999
Link3 Mystery Box,0.1948265586481113,0.26966058173921087,20.81354110000001,503,97.99775899999999
Moon Noun Runners - 3333 Supply - 0% Royalty - 0.00053 ETH after FREE MINT,0.34663333333333335,0,6.2394,18,6.2394
Pre-Process by Casey REAS,4.773902604166667,-0.5200178358971781,-51.720973958333325,10,47.73902604166667
Project Atama Soldiers of Web3,0.10322276315789476,0,7.8449300000000015,76,7.8449300000000015
The Walking Dead Official,0.16557177915151514,0.6052035910653826,10.300104560000005,165,27.319343559999997
MEGA 404,0.28121128863307787,0,6.186648349927713,22,6.186648349927713
The Ponzi,0.07169189653629959,0,606.6568284901672,8462,606.6568284901672
Invisible Friends,2.505698103448276,0.05610631702804622,23.1623229999999,174,435.99147
RTFKT PodX,0.30546586484917093,1.8376472888812516,262.30704509900073,1326,405.04773679000067
Bit islands Genesis Passport,0.34714888888888884,89.95604075691412,6.17998,18,6.248679999999999
Uniswap V3 Positions,0.6059119999999999,1210.8239999999998,6.054119999999999,10,6.059119999999999
Mind the Gap by MountVitruvius,1.9648356896551733,0.486884794434738,37.31669071962624,58,113.96047000000006
Angels of Hell NFT,0.5817877491932253,0,5.817877491932253,10,5.817877491932253
Shellz Orb,0.1132569084050721,1.3979251486850026,105.17893613546707,1593,180.41825508927985
Divergence Divers,0.44038461538461526,0,5.724999999999999,13,5.724999999999999
Super G.rilla Official,0.09123863316455705,15.338407879227502,33.83346010000003,395,36.039260100000035
Trident Pseudo Krakens,0.042407947368420976,78.59190586868087,13.525666999999975,323,13.697766999999976
Checks - Pepe Edition,0.004796456428595602,0,5.6694114986000015,1182,5.6694114986000015
Lazy Lions,0.6329474282167049,0.44320691416519775,86.10914794320311,443,280.3957107000003
XENFT by XEN CRYPTO,0.22099531545471018,5.965631681791015,104.47637013100002,552,121.98941413100002
HasbullaNFT,0.10268048567901561,0,1291.9258708133743,12582,1291.9258708133743
Mirandus,0.3325305333751442,-0.3875250703331014,-213.34426416743173,1014,337.18596084239624
My Curio Cards,0.6939139729632059,0.21058593687516802,55.767522223001265,462,320.5882555090011
The math checks out.,0.04142831746269042,0,112.27074032389103,2710,112.27074032389103
Alpha Prestige - Fusionist,3.62163913042029,3.314750674116781,191.97710000900003,69,249.89309999900001
d56k DISKs,0.04334764648374878,0,33.724468964356554,778,33.724468964356554
Yearn Finance,0.4438333333333333,2.035968762469361,3.5716999999999994,12,5.326
Larva Chads,0.12456140536175707,1.3116130827808785,24.312663444444436,344,42.84912344444443
OnChainMonkey,1.0354346500974658,0.08786023566019592,9.533377864199466,114,118.0395501111111
Sappy Seals,1.2454314653079093,-0.5663758809923005,-849.144609590907,522,650.1152248907287
TwitFi Official,0.0729708506166091,-0.12834644763360537,-46.04051611583367,4285,312.68009489217
Hello Owl Official,0.435525,0,5.2263,12,5.2263
Hafftka Declaration of Independence,0.39866725575221235,0,45.0493999,113,45.0493999
Fable Dragons by Tyrant,0.5494834995098041,-0.060615847043408194,-7.2331549999898925,204,112.09463390000005
ASM Brains,0.5027813936000001,-0.19678884151753534,-12.318276076997009,100,50.27813936000001
oncyber labs,0.42683685332955706,0.7566767539796012,215.84825613902984,1174,501.1064658089
Prometheans,0.020860662371649043,5.002756616558221,9.075221569042105,522,10.8892657580008
Kozmonauts.LTA,0.033686094479957324,1.340067468932459,9.047358311099984,469,15.798778311099984
Looki,0.6417725000000001,-0.2033224149175827,-15.723708999999985,96,61.61016000000001
Admit One,2.8799693666666664,-0.10463214264895411,-10.09654399999998,30,86.399081
The Lost Peperium Pepes,1.349891662456111,0,16.198700003469,12.00000004,16.198700003469
Hashflow (Official),0.17783333333333334,7.696450201941834,4.7215313,30,5.335
Cool Pets NFT,0.1277055081676792,-0.41409567959099186,-52.89093499942297,586,74.83542778626001
Women In Abstractions,0.08878258278145683,0,80.43701999999989,906,80.43701999999989
Chronicles of the Inhabited Worlds Official,0.0988693737704918,0,6.0310318,61,6.0310318
Bulls and Apes Project - Genesis,0.8619553025936607,-0.543782064629084,-356.50591923223664,347,299.09849000000025
SuperNormal,0.4310300685525728,2.6409625459663655,130.37359858642284,417,179.73953858642287
Kaiju Kingz,0.36344688027014654,-0.23681110166512806,-68.0030311626528,603,219.15846880289837
Hydro Whales Mining Club Official,1.1334617117071428,-0.5261820048700361,-176.22167728016692,140,158.68463963899998
AV Yacht Club,0.1145539740311562,13.527974008287654,52.48110477888441,492,56.36055522332885
TOSHIES,0.19042404700885002,0,1294.5026715661625,6798,1294.5026715661625
